modelId,brandId,brandName,modelName,vehicleClassCodes,status,publishable,providerLane,providerMake,providerModelFamily,providerModelYear,exactMatchReview,currentImageUrl,targetAssetPath,requestedPaintDescription,requestedAngle,requestedZoomType,requestedFileType,requestedWidth
vehicle-mercedes-s,brand-mercedes,奔驰,S级,passenger_car,approved,true,owned_reviewed_asset,奔驰,S级,,passed,/assets/used-cars/owner-models/vehicle-mercedes-s.webp,/assets/used-cars/owner-models/vehicle-mercedes-s.webp,white,28,relative,webp,800
vehicle-mercedes-e,brand-mercedes,奔驰,E级,passenger_car,approved,true,owned_reviewed_asset,奔驰,E级,,passed,/assets/used-cars/owner-models/vehicle-mercedes-e.webp,/assets/used-cars/owner-models/vehicle-mercedes-e.webp,white,28,relative,webp,800
vehicle-mercedes-glc,brand-mercedes,奔驰,GLC,passenger_car,approved,true,owned_reviewed_asset,奔驰,GLC,,passed,/assets/used-cars/owner-models/vehicle-mercedes-glc.webp,/assets/used-cars/owner-models/vehicle-mercedes-glc.webp,white,28,relative,webp,800
vehicle-mercedes-a,brand-mercedes,奔驰,A级,passenger_car,approved,true,owned_reviewed_asset,奔驰,A级,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-a.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-a.webp,white,28,relative,webp,800
vehicle-mercedes-b,brand-mercedes,奔驰,B级,passenger_car,approved,true,owned_reviewed_asset,奔驰,B级,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-b.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-b.webp,white,28,relative,webp,800
vehicle-mercedes-c,brand-mercedes,奔驰,C级,passenger_car,approved,true,owned_reviewed_asset,奔驰,C级,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-c.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-c.webp,white,28,relative,webp,800
vehicle-mercedes-cla,brand-mercedes,奔驰,CLA,passenger_car,approved,true,owned_reviewed_asset,奔驰,CLA,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-cla.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-cla.webp,white,28,relative,webp,800
vehicle-mercedes-cls,brand-mercedes,奔驰,CLS,passenger_car,approved,true,owned_reviewed_asset,奔驰,CLS,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-cls.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-cls.webp,white,28,relative,webp,800
vehicle-mercedes-gla,brand-mercedes,奔驰,GLA,passenger_car,approved,true,owned_reviewed_asset,奔驰,GLA,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-gla.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-gla.webp,white,28,relative,webp,800
vehicle-mercedes-glb,brand-mercedes,奔驰,GLB,passenger_car,approved,true,owned_reviewed_asset,奔驰,GLB,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-glb.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-glb.webp,white,28,relative,webp,800
